age,sex,annual_income,monthly_expenses,old_dependents,young_dependents,home_ownership,type_of_house,occupants_count,house_area,loan_tenure,loan_installments,loan_amount
22,F,36000.0,5000.0,0,2,1.0,R,4,70.0,12,12,5000.0
21,F,94000.0,3600.0,1,1,1.0,T1,4,80.0,12,50,7500.0
24,M,48000.0,4000.0,0,2,1.0,T1,4,50.0,12,12,5000.0
26,F,7000.0,5000.0,0,2,1.0,T1,5,50.0,12,50,7500.0
23,F,36000.0,3500.0,0,0,1.0,T1,1,112.0,12,12,5000.0
23,F,36000.0,3500.0,0,0,1.0,T1,1,112.0,12,12,5000.0
22,F,36000.0,3000.0,0,1,1.0,T1,3,60.0,12,12,5000.0
28,F,7000.0,5000.0,0,2,1.0,T1,5,40.0,12,50,7500.0
38,F,36000.0,5000.0,0,2,1.0,T1,5,50.0,12,12,5000.0
25,F,36000.0,5000.0,0,3,1.0,R,5,50.0,12,12,5000.0
25,F,40000.0,3000.0,0,0,1.0,T1,1,110.0,12,12,5000.0
26,F,60000.0,5000.0,0,3,1.0,R,5,50.0,12,12,5000.0
34,F,95000.0,5200.0,1,4,1.0,T1,7,50.0,12,50,7500.0
37,F,36000.0,5000.0,0,3,1.0,R,5,60.0,12,12,5000.0
50,F,42000.0,3500.0,0,0,0.0,T1,4,40.0,12,12,5000.0
54,M,48000.0,4000.0,0,1,0.0,R,5,50.0,12,12,5000.0
28,F,95000.0,4000.0,0,2,1.0,T1,4,50.0,12,50,7500.0
34,M,48000.0,4000.0,0,1,1.0,T1,3,50.0,12,12,5000.0
57,M,36000.0,5000.0,0,1,1.0,R,5,50.0,12,12,5000.0
48,F,95000.0,400.0,0,0,1.0,T1,4,60.0,12,50,7500.0
23,F,36000.0,3000.0,0,1,0.0,R,3,60.0,12,12,5000.0
32,F,50000.0,4400.0,0,2,1.0,T1,4,40.0,12,50,7500.0
35,F,3600.0,5000.0,0,2,1.0,T1,5,60.0,12,12,5000.0
43,M,3600.0,4000.0,1,1,1.0,R,5,50.0,12,12,5000.0
26,F,48000.0,4000.0,0,1,1.0,T1,1,110.0,12,12,5000.0
51,F,60000.0,5000.0,0,3,1.0,R,5,60.0,12,12,5000.0
39,M,60000.0,5000.0,0,1,1.0,R,3,60.0,12,12,5000.0
23,F,42000.0,3500.0,0,1,1.0,T1,1,112.0,12,12,5000.0
46,F,36000.0,5000.0,0,0,1.0,R,4,40.0,12,12,5000.0
45,M,48000.0,5000.0,0,1,1.0,R,3,40.0,12,12,5000.0
50,F,36000.0,3000.0,0,1,1.0,T1,1,110.0,12,12,5000.0
43,F,95000.0,4400.0,0,0,1.0,T1,3,50.0,12,50,7500.0
50,F,95000.0,5000.0,0,0,1.0,T1,4,130.0,12,50,7500.0
28,F,48000.0,4000.0,0,1,1.0,T1,1,112.0,12,12,5000.0
46,F,95000.0,4600.0,0,0,1.0,T1,4,50.0,12,50,7500.0
47,F,36000.0,3000.0,0,0,1.0,T1,1,110.0,12,12,5000.0
